# Longitud de onda (micrones)	Flujo (W)
6.540312479640890686e-01	2.401536592005517984e-36
6.541785872907895927e-01	2.411930879127494871e-36
6.543259266174903388e-01	2.422325166249497483e-36
6.544732659441906408e-01	2.432719453371474369e-36
6.546206052708913870e-01	2.443113740493467960e-36
6.547679445975919110e-01	2.453508027615454202e-36
6.549152839242924351e-01	2.463902314737435765e-36
6.550626232509929592e-01	2.474296601859420002e-36
6.552099625776934833e-01	2.484690888981404907e-36
6.553573019043940073e-01	2.495085176103386805e-36
6.555046412310946424e-01	2.505479463225374382e-36
6.556519805577951665e-01	2.515873750347401049e-36
6.557993198844956906e-01	2.526268037469420366e-36
6.559466592111962147e-01	2.536662324591413289e-36
6.560939985378967387e-01	2.547056611713401201e-36
6.562413378645972628e-01	2.557450898835385437e-36
6.563886771912977869e-01	2.567845185957368003e-36
6.565360165179983110e-01	2.578239473079350236e-36
6.566833558446989461e-01	2.588633760201329127e-36
6.568306951713994701e-01	2.599028047323309020e-36
6.569780344980999942e-01	2.609422334445296598e-36
6.571253738248005183e-01	2.619816621567279164e-36
6.572727131515010424e-01	2.630210908689262732e-36
6.574200524782015664e-01	2.640605195811240955e-36
6.575673918049020905e-01	2.650999482933224189e-36
6.577147311316028366e-01	2.661393770055218449e-36
6.578620704583033607e-01	2.671788057177195670e-36
6.580094097850038848e-01	2.682182344299175229e-36
6.581567491117044089e-01	2.692576631421159131e-36
6.583040884384049329e-01	2.702970918543142366e-36
6.584514277651054570e-01	2.713365205665116914e-36
6.585987670918059811e-01	2.723759492787095805e-36
6.587461064185065052e-01	2.734153779909083048e-36
6.588934457452071403e-01	2.744548067031056928e-36
6.590407850719076643e-01	2.754942354153058538e-36
6.591881243986081884e-01	2.765336641275104916e-36
6.593354637253087125e-01	2.775730928397091157e-36
6.594828030520092366e-01	2.786125215519070048e-36
6.596301423787097606e-01	2.796519502641049273e-36
6.597774817054102847e-01	2.806913789763028499e-36
6.599248210321108088e-01	2.817308076885004049e-36
6.600721603588114439e-01	2.827702364006982940e-36
6.602194996855119680e-01	2.838096651128959826e-36
6.603668390122124920e-01	2.848490938250942393e-36
6.605141783389130161e-01	2.858885225372911261e-36
6.606615176656135402e-01	2.869279512494893159e-36
6.608088569923141753e-01	2.879673799616877730e-36
6.609561963190148104e-01	2.890068086738949833e-36
6.611035356457153345e-01	2.900462373860930729e-36
6.612508749724158585e-01	2.910856660982904275e-36
6.613982142991163826e-01	2.921250948104884836e-36
6.615455536258169067e-01	2.931645235226853036e-36
6.616928929525174308e-01	2.942039522348831259e-36
6.618402322792179548e-01	2.952433809470806141e-36
6.619875716059184789e-01	2.962828096592784030e-36
6.621349109326191140e-01	2.973222383714756239e-36
6.622822502593196381e-01	2.983616670836732457e-36
6.624295895860201622e-01	2.994010957958802891e-36
6.625769289127206862e-01	3.004405245080773429e-36
6.627242682394212103e-01	3.014799532202753657e-36
6.628716075661217344e-01	3.025193819324729541e-36
6.630189468928222585e-01	3.035588106446699412e-36
6.631662862195227826e-01	3.045982393568675964e-36
6.633136255462234177e-01	3.056376680690651180e-36
6.634609648729239417e-01	3.066770967812621051e-36
6.636083041996244658e-01	3.077165254934652395e-36
6.637556435263249899e-01	3.087559542056661020e-36
6.639029828530256250e-01	3.097953829178640246e-36
6.640503221797261491e-01	3.108348116300625484e-36
6.641976615064266731e-01	3.118742403422595355e-36
6.643450008331273082e-01	3.129136690544564557e-36
6.644923401598278323e-01	3.139530977666539773e-36
6.646396794865283564e-01	3.149925264788510312e-36
6.647870188132288805e-01	3.160319551910575066e-36
6.649343581399294045e-01	3.170713839032546273e-36
6.650816974666299286e-01	3.181108126154522825e-36
6.652290367933304527e-01	3.191502413276490023e-36
6.653763761200309768e-01	3.201896700398462566e-36
6.655237154467316119e-01	3.212290987520445801e-36
6.656710547734321359e-01	3.222685274642403644e-36
6.658183941001326600e-01	3.233080592472268661e-36
6.659657334268331841e-01	3.243609339779144239e-36
6.661130727535337082e-01	3.256114053494708501e-36
6.662604120802342322e-01	3.273478120655425275e-36
6.664077514069347563e-01	3.293023572746679802e-36
6.665550907336352804e-01	3.312733434109063895e-36
6.667024300603359155e-01	3.332444796001158589e-36
6.668497693870364396e-01	3.352156157893078216e-36
6.669971087137369636e-01	3.371867519785004526e-36
6.671444480404374877e-01	3.391578881676906781e-36
6.672917873671381228e-01	3.411290243568842445e-36
6.674391266938386469e-01	3.431001605460756727e-36
6.675864660205392820e-01	3.450712967352858771e-36
6.677338053472398061e-01	3.470424329244777062e-36
6.678811446739403301e-01	3.490135691136683326e-36
6.680284840006408542e-01	3.509847053028584912e-36
6.681758233273413783e-01	3.529558414920506544e-36
6.683231626540419024e-01	3.549269776812605247e-36
6.684705019807424264e-01	3.568981138704518861e-36
6.686178413074429505e-01	3.588692500596419111e-36
6.687651806341435856e-01	3.608403862488340075e-36
6.689125199608441097e-01	3.628115224380255025e-36
6.690598592875446338e-01	3.647826586272345710e-36
6.692071986142451578e-01	3.667537948164265337e-36
6.693545379409456819e-01	3.687249310056164251e-36
6.695018772676462060e-01	3.706960671948073188e-36
6.696492165943467301e-01	3.726672033839990811e-36
6.697965559210472541e-01	3.746383395732076150e-36
6.699438952477478892e-01	3.766094757623987759e-36
6.700912345744484133e-01	3.785806119515891350e-36
6.702385739011489374e-01	3.805517481407804964e-36
6.703859132278495725e-01	3.825228843299723255e-36
6.705332525545500966e-01	3.844940205191810599e-36
6.706805918812506206e-01	3.864651567083720872e-36
6.708279312079511447e-01	3.884362928975633149e-36
6.709752705346517798e-01	3.904074290867535404e-36
6.711226098613523039e-01	3.923785652759631434e-36
6.712699491880528280e-01	3.943497014651520993e-36
6.714172885147533520e-01	3.963208376543445966e-36
6.715646278414538761e-01	3.982919738435340871e-36
6.717119671681544002e-01	4.002631100327245130e-36
6.718593064948549243e-01	4.022342462219331137e-36
6.720066458215554484e-01	4.042053824111232724e-36
6.721539851482560834e-01	4.061765186003140992e-36
6.723013244749566075e-01	4.081476547895045919e-36
6.724486638016571316e-01	4.101187909787123908e-36
6.725960031283576557e-01	4.120899271679028168e-36
6.727433424550581798e-01	4.140610633570931090e-36
6.728906817817587038e-01	4.160321995462822654e-36
6.730380211084592279e-01	4.180033357354934052e-36
6.731853604351597520e-01	4.199744719246826284e-36
6.733326997618603871e-01	4.219456081138721857e-36
6.734800390885610222e-01	4.239167443030639480e-36
6.736273784152615463e-01	4.258878804922718805e-36
6.737747177419620703e-01	4.278590166814621728e-36
6.739220570686625944e-01	4.298301528706522646e-36
6.740693963953631185e-01	4.318012890598421560e-36
6.742167357220637536e-01	4.337724252490514249e-36
6.743640750487642777e-01	4.357435614382402472e-36
6.745114143754648017e-01	4.377146976274292699e-36
6.746587537021653258e-01	4.396858338166382047e-36
6.748060930288658499e-01	4.416569700058279624e-36
6.749534323555663740e-01	4.436281061950165843e-36
6.751007716822668980e-01	4.455992423842068765e-36
6.752481110089674221e-01	4.475703785734146086e-36
6.753954503356679462e-01	4.495415147626047673e-36
6.755427896623685813e-01	4.515126509517937232e-36
6.756901289890691054e-01	4.534837871409854855e-36
6.758374683157696294e-01	4.554549233301900770e-36
6.759848076424701535e-01	4.574260595193813048e-36
6.761321469691706776e-01	4.593971957085698598e-36
6.762794862958712017e-01	4.613683318977777255e-36
6.764268256225717257e-01	4.633394680869668150e-36
6.765741649492724719e-01	4.653106042761573746e-36
6.767215042759728849e-01	4.672817404653643048e-36
6.768688436026735200e-01	4.692528766545549312e-36
6.770161829293740441e-01	4.712240128437441544e-36
6.771635222560745682e-01	4.731951490329328430e-36
6.773108615827750922e-01	4.751662852221412433e-36
6.774582009094756163e-01	4.771374214113301992e-36
6.776055402361762514e-01	4.791085576005178187e-36
6.777528795628767755e-01	4.810796937897270876e-36
6.779002188895772996e-01	4.830508299789144398e-36
6.780475582162778236e-01	4.850219661681030616e-36
6.781948975429783477e-01	4.869931023573108605e-36
6.783422368696788718e-01	4.889642385465007519e-36
6.784895761963793959e-01	4.909353747356891064e-36
6.786369155230799199e-01	4.929065109248965044e-36
6.787842548497805550e-01	4.948776471140850594e-36
6.789315941764810791e-01	4.968487833032730130e-36
6.790789335031816032e-01	4.988199194924801437e-36
6.792262728298821273e-01	5.007910556816690328e-36
6.793736121565826513e-01	5.027621918708566523e-36
6.795209514832831754e-01	5.047333280600641839e-36
6.796682908099839215e-01	5.067044642492550776e-36
6.798156301366842236e-01	5.086756004384425635e-36
6.799629694633849697e-01	5.106467366276509637e-36
6.801103087900854938e-01	5.126178728168393851e-36
6.802576481167860178e-01	5.145890090060275392e-36
6.804049874434865419e-01	5.165601451952345362e-36
6.805523267701870660e-01	5.185312813844236926e-36
6.806996660968875901e-01	5.205024175736103098e-36
6.808470054235881141e-01	5.224735537628173069e-36
6.809943447502887492e-01	5.244446899520051268e-36
6.811416840769892733e-01	5.264158261411932141e-36
6.812890234036897974e-01	5.283869623304000107e-36
6.814363627303903215e-01	5.303580985195878307e-36
6.815837020570908455e-01	5.323292347087752497e-36
6.817310413837913696e-01	5.343003708979834495e-36
6.818783807104918937e-01	5.362715070871717373e-36
6.820257200371924178e-01	5.382426432763777320e-36
6.821730593638930529e-01	5.402137794655664207e-36
6.823203986905935770e-01	5.421849156547539065e-36
6.824677380172941010e-01	5.441560518439595672e-36
6.826150773439946251e-01	5.461271880331480554e-36
6.827624166706951492e-01	5.480983242223345390e-36
6.829097559973956733e-01	5.500694604115403333e-36
6.830570953240964194e-01	5.520405966007307592e-36
6.832044346507969435e-01	5.540117327899374890e-36
6.833517739774974675e-01	5.559828689791253090e-36
6.834991133041979916e-01	5.579540051683124608e-36
6.836464526308985157e-01	5.599251413575176537e-36
6.837937919575990398e-01	5.618962775467059414e-36
6.839411312842995638e-01	5.638674137358930264e-36
6.840884706110000879e-01	5.658385499250994221e-36
6.842358099377007230e-01	5.678096861142853711e-36
6.843831492644012471e-01	5.697808223034927023e-36
6.845304885911017712e-01	5.717519584926803218e-36
6.846778279178022952e-01	5.737230946818669390e-36
6.848251672445028193e-01	5.756942308710728002e-36
6.849725065712033434e-01	5.776653670602601524e-36
6.851198458979038675e-01	5.796365032494672163e-36
6.852671852246043915e-01	5.816076394386536999e-36
